Designator,Mid X,Mid Y,Rotation,Layer
C1,47.5,-36,0,top
C2,45.2,-67.2,180,top
C3,35.6,-56.7,90,top
D1,40,-46.4,0,top
Q1,43.15,-37,180,top
Q10,46.9,-51.1,90,top
Q11,34,-40,0,top
Q3,37.95,-33.8,90,top
Q4,32.2,-48.2,0,top
Q5,38.1,-54.8,90,top
Q6,45.3,-54.8,90,top
Q7,32.1,-43.1,0,top
Q8,47.6,-38.6,180,top
Q9,47.8,-46.2,90,top
R1,32.4,-56.3,180,top
R10,35.4,-52.9,270,top
R11,39.1,-43.6,0,top
R12,48,-54.8,270,top
R13,32.4,-64,180,top
R14,32.4,-61.5,180,top
R15,47.2,-65.2,0,top
R16,34.5,-66.8,180,top
R17,47.4,-41.2,0,top
R18,47.2,-63.2,0,top
R19,40.7,-54.8,90,top
R2,32.4,-58.5,180,top
R20,32.4,-37.6,180,top
R21,32.6,-52.9,270,top
R3,45.7,-57.8,180,top
R4,42.8,-54.8,270,top
R5,47.2,-61,0,top
R6,35.35,-33.8,270,top
R7,38.2,-37.4,90,top
R8,42.35,-33.8,90,top
R9,40.35,-35.2,90,top
U1,40,-62.3,270,top
